축제명,시도,시군구,방문객수,예산,최초개최연도,회차
2026 서울무형문화축제,서울,중구,10459,178,2005,
제25회 서울억새축제,서울,마포구,700000,250,2002,25
2026 서울라이트 한강 빛섬축제,서울,용산구,515683,2604,2023,
2026 서울라이트 광화문,서울,종로구,3118958,3254,2022,
2026년 30회 서울세계도시문화축제,서울,중구,160000,642,1996,30
한강페스티벌,서울,,201000,1211,2013,
2026 로맨틱 한강 크리스마스 마켓,서울,광진구,129300,423,2023,
2026 차없는 잠수교 뚜벅뚜벅 축제,서울,서초구,1284838,2336,2022,
2026 한강 서래섬 피크닉 콘서트(봄),서울,서초구,2000,5,2004,
2026 한강 서래섬 피크닉 콘서트(가을),서울,서초구,2000,5,2004,
제20회 서울안전한마당,서울,영등포구,42300,327,2007,20
2026 서울윈터페스타,서울,"종로구, 중구",10983176,996,2023,
서울스프링페스타 2026,서울,영등포구,826180,4225,2022,
2026 서울바비큐페스타,서울,마포구,28343,704,2025,
2026 한강 드론 라이트 쇼,서울,광진구,280741,982,2023,
2026 서울국제정원박람회,서울,"성동구, 서초구",1044000,6960,2015,
2026 서울어린이정원 페스티벌,서울,광진구,635000,200,2025,
제4회 레드로드 페스티벌,서울,마포구,,220,2023,4
제19회 마포나루 새우젓축제,서울,마포구,820000,529,2008,19
제31회 강동선사문화축제,서울,강동구,455185,665,1996,31
제18회 중랑 서울장미축제,서울,중랑구,3012797,532,2009,18
중랑 용마폭포축제,서울,중랑구,17388,100,2016,
제16회 2026 서대문 봄빛축제,서울,서대문구,546018,129,2011,16
제17회 2026 서대문 독립축제,서울,서대문구,151660,204,2010,17
2026 신촌글로벌대학문화축제,서울,서대문구,493649,288,2023,
관악 책빵 축제,서울,관악구,69112,70,2023,
제 5회 그루브 인 관악,서울,관악구,15061,100,2022,5
제 10회 관악강감찬축제,서울,관악구,208406,457,2016,10
2026 영등포 여의도 봄꽃축제,서울,영등포구,3030000,758,2005,
제3회 영등포 정원축제(정원소풍),서울,영등포구,2800,130,2024,3
제3회 영등포구 여름축제 대피서,서울,영등포구,3000,79,2024,3
제2회 영등포구 원조맥주축제,서울,영등포구,22000,171,2025,2
2026 영등포네트워크예술제,서울,영등포구,6682,60,2019,
제3회 영등포 선유도원축제,서울,영등포구,71352,313,2024,3
제4회 주막거리객사전,서울,구로구,11500,80,2023,4
제10회 프랑스문화축제,서울,구로구,15000,62,2005,10
구로G페스티벌,서울,구로구,170000,800,2003,
2026 서리풀뮤직페스티벌,서울,서초구,250000,1650,2015,
2026 송파구 벚꽃축제,서울,송파구,8620000,264,2007,
제26회 한성백제문화제,서울,송파구,513547,800,1994,26
불암산 철쭉제,서울,노원구,327582,174,2021,
노원구 어린이날 축제,서울,노원구,31795,,2010,
경춘선 공릉숲길 커피축제,서울,노원구,89453,494,2023,
노원달빛산책,서울,노원구,1320557,,2014,
노원수제맥주축제,서울,노원구,67007,,2023,
댄싱노원 거리페스티벌,서울,노원구,209376,,2013,
4·19혁명국민문화제 2026,서울,강북구,60000,558,2013,
우이천변 페스타2026,서울,강북구,26306,294,2023,
제3회 공예문화축제,서울,강북구,3655,50,2024,3
2026 강북 백맥축제,서울,강북구,44894,291,2023,
상권과 함께하는 크리스마스 마켓,서울,강북구,56870,72,2023,
2026년 이태원 지구촌 축제,서울,용산구,,3000,2001,
제14회 자문밖문화축제,서울,종로구,3500,8,2013,14
2026  대학로 차 없는 거리 축제,서울,종로구,72000,200,1985,
2026 D.FESTA 대학로 거리공연축제,서울,종로구,3000,150,2006,
2026 대학로 소나무길 거리예술제,서울,종로구,2000,20,2017,
2026 아시테지 어린이가행복한대학로,서울,종로구,2000,15,1984,
서울연극제,서울,종로구,5000,0,1977,
인사동 엔틱&아트페어,서울,종로구,50000,240,1987,
2026 종로K축제,서울,종로구,208141,70,2016,
제24회 허준축제,서울,강서구,180000,498,1999,24
동대문구 봄꽃축제,서울,동대문구,59492,230,2008,
동대문구 맥주축제,서울,동대문구,20358,240,2024,
동대문페스티벌,서울,동대문구,110000,450,2024,
2026 정동야행,서울,중구,136513,365,2015,
제7회 가로수길 디자인위크,서울,강남구,33655,285,2020,7
제15회 강남페스티벌,서울,강남구,916594,2965,2012,15
제9회 도심 속 바다축제,서울,동작구,40000,300,2012,9
제30회 부산바다축제,부산,사하구,82435,1260,1996,30
2026 부산국제록페스티벌,부산,사상구,70000,9040,2000,
제11회 부산원도심활성화축제,부산,"중구, 동구, 서구, 영도구",14240,172,2016,11
2026 부산밀페스티벌,부산,북구,33000,500,2024,
부산 시민의종 타종행사,부산,중구,8000,73,2000,
제19회 부산항축제,부산,"동구, 영도구",85000,900,2008,19
2026년 조선통신사 축제,부산,,40000,320,2003,
2026 제11회 피란수도 부산 국가유산 야행,부산,중구,40000,583,2016,11
2026 부산종합민속예술제,부산,부산진구,30000,280,2021,
제25회 부산과학축전,부산,해운대구,70000,295,2002,25
2026년 부산 가든쇼,부산,사상구,10000,1000,2025,
2026년 광복로 연등문화제,부산,중구,1500,935,2014,
유라리건맥축제,부산,중구,12516,93,2023,
제33회 부산자갈치축제,부산,중구,195846,340,1992,33
광복로 겨울빛 트리축제,부산,중구,3105529,950,2009,
제17회 부산고등어축제,부산,서구,253131,209,2008,17
부산 서구 의료관광축제,부산,서구,18000,150,2022,
제2회 북항 해양레저 페스타,부산,동구,1000,,2025,2
제23회 부산차이나타운 문화축제,부산,동구,40000,255,2004,23
제4회 웹툰이바구길축제,부산,동구,2000,,2023,4
제34회 영도다리축제,부산,영도구,140000,271,1993,34
2026 글로벌 영도커피페스티벌,부산,영도구,120000,280,2019,
제15회 수국꽃 문화축제,부산,영도구,34750,50,2006,15
서면 빛 축제,부산,부산진구,,600,2020,
전포커피축제,부산,부산진구,76200,80,2017,
서면메디컬스트리트축제,부산,부산진구,5000,102,2011,
비어로드 페스티벌,부산,부산진구,4000,45,2024,
제32회 동래읍성역사축제,부산,동래구,192381,1006,1995,32
제4회 온천천 빛축제,부산,동래구,341728,350,2023,4
동래 문화교육 특구페스티벌,부산,동래구,18000,90,2018,
제28회 UN평화축제,부산,남구,70000,417,1997,28
제4회 유엔남구 물놀이축제,부산,남구,24462,297,2023,4
제13회 낙동강 구포나루 축제,부산,북구,230000,500,2011,13
제41회 해운대 달맞이온천축제,부산,해운대구,30000,75,1983,41
제21회 해운대모래축제,부산,해운대구,1009910,824,2005,21
제8회 해운대 해양레저축제,부산,해운대구,2000,40,2017,8
제13회 해운대 빛축제,부산,해운대구,3694744,,2014,13
제2회 세계문화축제,부산,해운대구,5000,35,2025,2
제16회 감천문화마을골목축제,부산,사하구,39000,30,2011,16
다대포 어항문화축제,부산,사하구,10000,110,2000,
제4회 다대포 선셋 영화축제,부산,사하구,75353,650,2022,4
장림항 부네치아 아트프리마켓,부산,사하구,29000,,2023,
사하예술제,부산,사하구,2500,,2013,
부산국제공연예술제,부산,금정구,32719,150,2007,
2026 금정산성축제,부산,금정구,33500,450,1996,
라라라 페스티벌,부산,금정구,110000,160,2016,
제7회 연제고분판타지축제,부산,연제구,100000,420,2018,7
대저토마토축제,부산,강서구,30000,450,2001,
